City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,puerto escondido,32,MX,1526365057,100,15.86,-97.07,85.18,9.22
1,kasongo-lunda,64,CD,1526365198,96,-6.48,16.82,70.69,2.84
2,saint-philippe,1,CA,1526362500,72,45.36,-73.48,62.6,3.36
3,ushuaia,56,AR,1526364791,100,-54.81,-68.31,22.54,3.96
4,severo-kurilsk,92,RU,1526364858,98,50.68,156.12,36.31,18.39
5,sao filipe,0,CV,1526364894,100,14.9,-24.5,69.88,10.78
6,punta arenas,0,CL,1526364000,92,-53.16,-70.91,26.6,5.82
7,atuona,0,PF,1526364804,100,-9.8,-139.03,81.04,14.25
8,nishihara,1,JP,1526363760,41,35.74,139.53,80.6,17.22
9,camacha,75,PT,1526362200,77,33.08,-16.33,60.8,12.75
10,lao cai,0,VN,1526365202,61,22.48,103.95,79.96,2.17
11,cape town,40,ZA,1526361540,100,-33.93,18.42,48.2,2.24
12,port alfred,8,ZA,1526364816,100,-33.59,26.89,59.53,3.96
13,omsukchan,24,RU,1526365204,92,62.53,155.8,38.65,3.51
14,palmer,90,US,1526364180,87,61.6,-149.11,44.6,6.93
15,gambela,92,ET,1526365204,97,8.25,34.59,65.56,3.62
16,avarua,75,CK,1526360400,88,-21.21,-159.78,75.2,13.87
17,rikitea,8,PF,1526364804,100,-23.12,-134.97,78.16,4.85
18,lere,48,TD,1526365206,78,9.66,14.23,77.8,10.67
19,butaritari,20,KI,1526364794,100,3.07,172.79,83.83,12.01
20,tasiilaq,36,GL,1526363400,92,65.61,-37.64,28.4,4.7
21,codrington,0,AU,1526364942,74,-28.95,153.24,65.38,3.4
22,richards bay,80,ZA,1526365135,100,-28.77,32.06,61.87,13.69
23,nome,1,US,1526362500,88,30.04,-94.42,73.4,4.7
24,anchorage,90,US,1526364180,93,61.22,-149.89,44.6,8.05
25,thap than,24,TH,1526365209,66,15.46,99.89,93.28,3.62
26,karak,0,JO,1526360400,72,31.18,35.7,60.8,4.18
27,hobart,75,AU,1526364000,66,-42.88,147.33,48.2,12.75
28,albany,20,US,1526363640,87,42.65,-73.75,66.2,4.41
29,purpe,56,RU,1526365210,95,64.48,76.69,25.96,14.7
30,kalabo,20,ZM,1526365211,43,-15.0,22.67,72.94,7.65
31,chumikan,48,RU,1526365211,77,54.72,135.31,42.07,2.62
32,pangnirtung,80,CA,1526365145,92,66.15,-65.72,18.4,2.95
33,say,0,NE,1526360400,45,13.1,2.36,87.8,9.17
34,longyearbyen,75,NO,1526359800,92,78.22,15.63,32.0,9.17
35,araouane,0,ML,1526364936,24,18.9,-3.53,70.24,7.99
36,nantucket,90,US,1526362980,100,41.28,-70.1,53.6,10.29
37,georgetown,20,GY,1526360400,94,6.8,-58.16,71.6,4.7
38,amahai,88,ID,1526365214,100,-3.31,129.0,81.13,7.65
39,lasa,20,CY,1526362200,64,34.92,32.53,73.4,2.24
40,kapaa,75,US,1526360160,78,22.08,-159.32,73.4,16.11
41,padang,88,ID,1526365181,100,-0.92,100.36,79.06,4.07
42,havre-saint-pierre,20,CA,1526360400,74,50.23,-63.6,33.8,2.62
43,marsaxlokk,80,MT,1526363100,72,35.84,14.54,64.4,10.29
44,isangel,80,VU,1526364996,100,-19.55,169.27,78.43,2.73
45,meadow lake,32,CA,1526364852,30,54.13,-108.44,62.14,6.76
46,hilo,40,US,1526362260,73,19.71,-155.08,75.2,3.36
47,byron bay,36,AU,1526364000,49,-28.65,153.62,69.8,10.29
48,nanortalik,80,GL,1526364796,100,60.14,-45.24,30.46,26.11
49,victoria,75,BN,1526362200,79,5.28,115.24,89.6,4.7
